Review,Number of Reviews,Price,Tax,Star,Rating
Very Good,141,164,21,2,8.2
Very Good,154,139,21,3,8.2
Good,140,96,11,2,7.3
Good,152,95,7,3,7.7
Excellent,234,203,26,2,8.9
Excellent,290,139,15,3,8.6
Good,705,174,25,3,7.5
Very Good,258,159,23,3,8
Very Good,90,170,18,3,8.4
Good,344,119,15,3,7.9
Very Good,197,139,21,2,8.1
Review score,308,52,7,2,6.9
Very Good,320,89,10,3,8.5
Very Good,187,177,25,3,8.3
Very Good,111,159,21,3,8.3
Good,52,94,11,2,7.5
Very Good,111,159,21,3,8.3
Good,234,169,26,3,7.3
Good,117,71,9,2,7.3
Good,170,77,11,2,7.5
Very Good,98,134,20,3,8.4
Good,33,90,11,2,7.2
Excellent,143,119,15,3,8.8
Good,235,144,16,2,7.7
Good,344,119,15,3,7.9
Good,455,109,12,4,7.8
Excellent,100,100,8,1,8.7
Excellent,202,154,18,3,8.9
Very Good,229,119,15,3,8.2
Good,104,168,25,3,7.9
Excellent,406,154,18,3,8.6
Very Good,237,82,9,2,8.5
Excellent,169,129,13,3,8.6
Good,337,144,19,2,7.9
Excellent,142,127,8,2,8.9
Review score,50,47,7,1,6.8
Good,207,68,15,2,7
Very Good,314,90,12,3,8.4
Very Good,418,104,15,3,8
Wonderful,419,159,21,3,9
Good,208,109,20,3,7.9
Excellent,336,159,16,2,8.6
Good,413,140,14,2,7.5
Very Good,501,119,11,3,8.3
Review score,332,75,11,2,6.9
Good,295,99,8,3,7.1
Very Good,125,95,11,3,8.5
Wonderful,233,209,23,3,9.3
Very Good,858,180,27,3,8.1
Good,299,98,15,3,7.4
Very Good,129,124,24,2,8.2
Very Good,112,149,25,3,8.5
Good,428,144,18,2,7.9
Good,176,90,12,2,7
Wonderful,245,384,74,4,9.1
Excellent,111,118,14,2,8.7
Wonderful,12,159,17,0,9
Very Good,183,115,17,3,8.5
Good,132,95,11,3,7.4
Good,268,72,8,2,7.1
Excellent,151,89,12,3,8.6
Excellent,312,140,22,2,8.6
Very Good,270,169,22,2,8.2
Excellent,292,129,14,2,8.6
Very Good,193,149,20,2,8
Excellent,191,179,21,2,8.9
Good,227,140,14,2,7
Very Good,327,119,12,3,8
Good,118,109,20,3,7.5
Review score,373,99,15,2,6.9
Review score,242,117,13,2,6.8
Very Good,296,152,11,3,8.4
Very Good,213,112,15,3,8
Very Good,148,145,15,2,8.5
Very Good,92,179,14,3,8.2
Excellent,182,112,13,2,8.7
Good,201,129,19,2,7.8
Good,257,210,31,3,7.9
Very Good,241,239,32,3,8.4
Wonderful,68,160,30,2,9
Good,130,125,14,3,7.9
Very Good,395,147,18,3,8.5
Very Good,122,129,12,2,8.5
Very Good,110,279,29,3,8.1
Good,207,68,15,2,7
Very Good,109,118,16,2,8.3
Very Good,240,130,19,2,8.1
Very Good,137,229,24,3,8.2
Review score,359,110,11,2,6.8
Excellent,328,132,13,3,8.9
Very Good,122,129,12,2,8.5
Excellent,117,249,33,2,8.6
Very Good,109,118,16,2,8.3
Review score,161,73,13,3,6.8
Very Good,357,129,14,3,8.2
Very Good,240,130,19,2,8.1
Very Good,137,229,24,3,8.2
Good,398,82,11,2,7.2
Review score,359,110,11,2,6.8
Excellent,331,185,25,3,8.6
Very Good,160,96,12,2,8.5
Good,240,119,20,3,7.6
Review score,218,114,17,3,6.9
Very Good,339,124,17,3,8.4
Excellent,148,145,16,2,8.6
Very Good,91,129,39,4,8.4
Good,162,92,7,2,7.7
Very Good,302,130,14,2,8.5
Good,185,99,9,2,7.4
Excellent,24,140,13,2,8.7
Very Good,254,189,22,3,8.5
Good,165,109,15,3,7.6
Excellent,142,127,8,2,8.9
Very Good,244,101,13,3,8.5
Wonderful,386,179,34,2,9.4
Wonderful,386,179,34,2,9.4
Good,72,79,9,2,7.1
Excellent,452,159,19,3,8.9
Very Good,162,102,10,3,8
Excellent,308,100,19,3,8.6
Good,73,86,10,3,7.4
Wonderful,439,99,30,3,9.3
Good,317,90,15,3,7.8
Wonderful,190,134,23,3,9.2
Very Good,207,480,47,3,8
Excellent,77,119,14,0,8.9
Very Good,154,139,23,2,8.1
Excellent,257,169,16,3,8.7
Very Good,418,104,15,3,8
Excellent,120,89,11,2,8.7
Very Good,47,112,13,2,8.2
Very Good,677,130,14,3,8.5
Good,81,104,12,2,7.4
Good,643,100,15,3,7.2
Very Good,270,169,20,2,8.4
Very Good,73,115,9,2,8.5
Very Good,168,79,11,2,8.2
Good,159,73,8,2,7
Good,359,89,12,3,7.5
Very Good,159,112,10,3,8.4
Very Good,122,129,12,2,8.5
Very Good,159,189,18,3,8.4
Very Good,133,99,15,3,8.5
Very Good,286,169,22,3,8.3
Excellent,391,123,18,3,8.8
Good,354,99,11,2,7.2
Wonderful,176,199,26,3,9.2
Good,700,152,18,3,7.6
Good,190,76,8,3,7.5
Very Good,67,109,13,2,8.5
Very Good,317,75,17,2,8.5
Good,317,75,8,3,7
Excellent,322,150,20,2,8.8
